Airport Sub,218
Aviation Sub,4
Bagley,10
Barton-McFarland,192
Belmont,8
Berg-Lahser,15
Bethune Community,185
Blackstone Park,4
Boston Edison,4
Boynton,171
Brightmoor,437
Buffalo Charles,95
Butler,16
Cadillac Community,15
Cadillac Heights,84
Campau/Banglatown,168
Carbon Works,13
Castle Rouge,5
Central Southwest,160
Chadsey Condon,323
Chalfonte,51
Chandler Park,98
Chandler Park-Chalmers,82
Claytown,415
College Park,87
Conant Gardens,54
Conner Creek,161
Core City,37
Cornerstone Village,108
Crary/St Marys,31
Davison,174
Davison-Schoolcraft,19
Delray,71
Denby,29
Dexter-Fenkell,71
Dexter-Linwood,194
East Canfield,22
East English Village,6
East Village,80
Eastern Market,5
Eden Gardens,132
Elijah McCoy,5
Eliza Howell,9
Evergreen Lahser 7/8,91
Evergreen-Outer Drive,92
Far West Detroit,3
Farwell,129
Fiskhorn,47
Fitzgerald/Marygrove,242
Five Points,29
Forest Park,3
Fox Creek,97
Franklin,71
Franklin Park,174
Garden Homes,68
Gateway Community,136
Grand River-I96,114
Grand River-St Marys,40
Grandmont,7
Grandmont #1,1
Grant,42
Gratiot Town/Ketterring,69
Gratiot Woods,212
Gratiot-Findlay,102
Gratiot-Grand,189
Green Acres,1
Greenfield,45
Greenfield Park,13
Greenfield-Grand River,36
Greenwich,1
Grixdale Farms,60
Happy Homes,6
Harmony Village,20
Hawthorne Park,18
Henry Ford,6
Herman Kiefer,89
Historic Atkinson,2
Holcomb Community,485
Hubbard Farms,6
Hubbard Richard,1
Hubbell-Lyndon,114
Hubbell-Puritan,22
Islandview,168
Jamison,111
Jefferson Chalmers,189
Joy Community,175
Joy-Schaefer,39
Krainz Woods,51
LaSalle College Park,28
LaSalle Gardens,32
Lafayette Park,1
Littlefield Community,46
Mapleridge,279
Martin Park,57
McDougall-Hunt,187
McDowell,7
McNichols Evergreen,1
Medbury Park,2
Mexicantown,1
Michigan-Martin,34
Midtown,2
Midwest,240
Miller Grove,23
Milwaukee Junction,1
Minock Park,2
Mohican Regent,5
Morningside,315
Moross-Morang,44
Mount Olivet,24
NW Goldberg,64
Nardin Park,102
Nolan,120
North Campau,49
North Corktown,8
North End,231
North LaSalle,47
North Rosedale Park,10
Northeast Central District,17
Northwest Community,12
Nortown,79
O'Hair Park,103
Oak Grove,12
Oakman Blvd Community,238
Oakwood Heights,2
Old Redford,8
Outer Drive-Hayes,395
Paveway,5
Pembroke,16
Penrose,36
Pershing,51
Petoskey-Otsego,45
Piety Hill,25
Pilgrim Village,330
Pingree Park,83
Plymouth-Hubbell,56
Plymouth-I96,153
Poletown East,52
Pride Area Community,40
Pulaski,293
Ravendale,20
Regent Park,344
Riverbend,131
Riverdale,26
Rivertown,1
San Bernardo,4
Schaefer 7/8 Lodge,4
Schoolcraft Southfield,220
Schulze,13
Seven Mile Lodge,1
Seven Mile-Rouge,19
Sherwood,38
South of Six,14
Southfield Plymouth,9
Springwells,198
The Eye,12
University District,1
Von Steuben,74
Wade,107
Warren Ave Community,185
Warrendale,653
We Care Community,68
Weatherby,94
West End,194
West Outer Drive,2
West Side Industrial,4
West Village,3
West Virginia Park,2
Westwood Park,159
Wildemere Park,124
Winship,9
Woodbridge,8
Yorkshire Woods,86
